CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Qamer Hameed,Senior Policy Advisor,2021-09-27,2023-05-11,7,Qamer Hameed
Qasir Dar,"Director, Stakeholder Relations",2024-04-30,2024-07-22,4,"Qasir  Dar, Qasir Dar"
Qasir Dar Hanif,"Director, Stakeholder Relations",2024-04-15,2024-04-15,2,"Qasir  Dar Hanif, Qasir Dar Hanif"
Qasir Hanif,"Director, Stakeholder Relations",2024-02-13,2025-06-05,20,"Qasir  Hanif, Qasir Hanif, Quasir Hanif, Quasir Hanif "
Qasir Hanif Dar,"Director, Stakeholder Relations",2024-04-15,2024-04-30,2,Qasir Hanif Dar
Qi Wang,Director,2016-06-01,2016-09-14,3,Qi Wang
Qiushi Wang,"Investment Analyst, Strategic Innovation Fund",2022-08-19,2023-08-18,5,Qiushi Wang
Quilliam Sylvain,Senior Commerce Officer,2014-02-03,2014-02-03,1,Quilliam Sylvain
Quinlan Mark,Vice President,2019-05-03,2019-05-03,2,Quinlan Mark
Quinn Deery,Acting Chief of Staff,2024-08-07,2024-08-07,1,Quinn Deery
Quinn Ferris,Regional Advisor,2020-01-30,2025-03-19,77,"Quinn  Ferris, Quinn Ferris"
Quinn Jim,Senator,2022-05-11,2022-05-11,1,Quinn Jim
Quinn Rinke,Parliamentary Secretary,2024-03-18,2024-12-09,3,Quinn Rinke
Quinten Beelik,Legislative Assistant,2024-02-01,2024-11-21,3,"Quinten  Beelik, Quinten Beelik"
Quinton Graham-bennett,Ministerial Assistant,2023-02-10,2024-10-29,2,Quinton Graham-Bennett
Quniton Graham-bennett,Office Manager,2025-02-11,2025-02-11,1,Quniton Graham-Bennett
Qusai Yusuf,Operations Assistant and Executive Assistant,2023-02-13,2023-02-13,1,Qusai Yusuf
